City,Country,State,Latitude ,Longitude 
Auburn,United States,Washington,47.3075,-122.2302
Auburn,United States,New York,42.932,-76.5672
Auburn,United States,Alabama,32.6099,-85.4808
Atlantic City,United States,New Jersey,39.3643,-74.4229
Atlanta,United States,Georgia,33.7491,-84.3902
Athens,United States,Georgia,33.9596,-83.3767
Asheville,United States,North Carolina,35.6009,-82.554
Arvada,United States,Colorado,39.8028,-105.0875
Arlington Heights,United States,Illinois,42.0813,-87.9801
Arlington,United States,Virginia,38.8769,-77.0893
Arlington,United States,Texas,32.7356,-97.1071
Appleton,United States,Wisconsin,44.2611,-88.4068
Apple Valley,United States,Minnesota,44.7319,-93.2177
Apple Valley,United States,California,34.5008,-117.1859
Apopka,United States,Florida,28.678,-81.5115
Antioch,United States,California,38.0049,-121.8058
Ann Arbor,United States,Michigan,42.2682,-83.7312
Andover,United States,Massachusetts,42.6572,-71.1409
Anaheim,United States,California,33.8348,-117.9117
Amarillo,United States,Texas,35.2072,-101.8338
Altoona,United States,Pennsylvania,40.5187,-78.3947
Allentown,United States,Pennsylvania,40.6022,-75.4713
Allen,United States,Texas,33.1032,-96.6706
Alexandria,United States,Virginia,38.8051,-77.047
Albuquerque,United States,New Mexico,35.0841,-106.651
Akron,United States,Ohio,41.0831,-81.5185
Abilene,United States,Texas,32.4465,-99.7333
Aberdeen,United States,South Dakota,45.465,-98.4878
